DATE-OBS LST OBS-RA OBS-DEC CRVAL1 CRVAL2
2026-01-03T06:12:37.938 00:31:00.84 22:59:07.138 +22:32:45.45 344.8033174 22.6136831
2026-01-03T06:12:37.938 00:49:12.74 12:51:44.446 +21:34:58.87 192.9238431 21.6428114
2026-01-03T06:12:37.938 00:46:10.92 09:11:45.120 +40:10:35.81 137.9649538 40.2303764
2026-01-03T06:12:37.938 00:43:54.78 11:40:44.226 +62:18:24.76 175.1639016 62.3551311
2026-01-04T01:40:41.408 00:41:58.67 00:01:42.686 +68:19:07.66 0.4474005 68.3844945
2026-01-03T06:12:37.938 00:51:13.06 21:55:34.034 +32:22:29.48 328.9055771 32.4156910
2026-01-04T01:40:41.408 00:52:18.02 17:14:01.139 +53:00:20.00 258.5269884 53.0208992
2026-01-03T06:12:37.938 01:00:09.08 19:42:34.781 +64:21:10.21 295.6573315 64.3851140
2026-01-04T01:40:41.408 00:59:14.45 23:48:06.592 +28:45:20.84 357.0872884 28.7974683
2026-01-04T01:40:41.408 00:52:51.93 07:20:40.423 +72:06:10.70 110.1487055 72.1891037
2026-01-04T01:40:41.408 00:57:32.14 18:48:53.192 +57:32:48.04 282.2659345 57.5643642
2026-01-03T06:12:37.938 01:01:39.44 00:16:53.329 +78:17:48.84 4.2436610 78.3663504
2026-01-03T06:12:37.938 01:07:12.33 22:10:21.910 +44:44:31.21 332.5961631 44.7585487
2026-01-03T06:12:37.938 01:05:52.41 12:13:04.196 +67:25:11.31 183.2515723 67.4812273
2026-01-03T06:12:37.938 01:11:30.83 16:17:57.955 +83:46:29.92 244.4999884 83.8088042
2026-01-03T06:12:37.938 01:12:36.75 03:29:48.040 +65:58:45.45 52.4737698 66.0498333
2026-01-03T06:12:37.938 01:12:23.75 10:35:52.398 +66:52:04.64 158.9891935 66.9263608
2026-01-04T01:40:41.408 01:10:23.43 19:21:39.542 +73:29:55.20 290.4393816 73.5350219
2026-01-04T01:40:41.408 01:19:12.52 23:24:27.059 +83:52:42.07 351.1278626 83.9201546
2026-01-04T01:40:41.408 01:24:32.75 11:36:11.718 +30:57:02.94 174.0663387 31.0006515
2026-01-03T06:12:37.938 01:26:46.92 10:52:32.411 +80:02:41.37 163.1371138 80.1154070
2026-01-04T01:40:41.408 01:15:16.75 04:55:00.788 +22:18:06.86 73.7764305 22.3900914
2026-01-03T06:12:37.938 01:21:44.81 04:23:40.088 +79:24:58.50 65.9114067 79.5005670
2026-01-04T01:40:41.408 01:27:54.15 05:35:21.952 +68:48:47.57 83.8265382 68.8987552
2026-01-04T01:40:41.408 01:21:19.25 02:54:14.447 +87:43:57.16 43.6040631 87.7959205
2026-01-04T01:40:41.408 01:32:34.39 15:32:26.541 +21:35:50.38 233.1447671 21.6395220
2026-01-03T06:12:37.938 01:35:19.35 07:35:27.946 +21:29:09.61 113.8833832 21.5674961
2026-01-03T05:12:23.535 01:30:20.89 04:13:11.968 +83:13:08.54 63.3168028 83.2938149
2026-01-04T01:40:41.408 01:40:01.91 02:41:30.615 +45:03:32.92 40.4274778 45.1065704
2026-01-04T01:40:41.408 01:40:36.45 00:19:11.707 +53:28:58.09 4.8278165 53.5243279
2026-01-03T06:12:37.938 01:47:03.70 12:29:26.740 +53:57:35.42 187.3692538 53.9953210
2026-01-03T06:02:42.556 01:39:34.94 15:04:12.334 +82:47:31.27 226.0357131 82.8298148
2026-01-03T06:12:37.938 01:40:02.13 05:00:58.263 +46:11:57.07 75.2548306 46.2509205
2026-01-04T01:40:41.408 01:51:10.98 20:33:36.027 +82:36:29.01 308.4292583 82.6400095
2026-01-04T01:40:41.408 01:53:29.51 05:56:01.516 +51:57:27.23 88.9885124 52.0166008
2026-01-04T01:40:41.408 01:51:03.68 12:55:48.106 +52:23:22.70 193.9362209 52.4082273
2026-01-04T01:40:41.408 01:46:15.24 19:16:09.414 +30:27:40.00 289.0965077 30.4904487
2026-01-04T01:40:41.408 01:36:52.61 23:17:27.350 +23:40:09.29 349.4052860 23.7190567
2026-01-04T01:40:41.408 01:54:49.03 04:01:36.292 +39:24:09.85 60.4446079 39.4614324
2026-01-04T01:40:41.408 01:49:29.20 21:07:33.132 +65:54:28.57 316.9031148 65.9556792
2026-01-04T01:40:41.408 01:57:44.30 17:10:29.990 +40:16:58.64 257.6985206 40.2846842
2026-01-04T01:40:41.408 02:06:39.30 10:11:42.334 +49:05:18.66 152.9952227 49.1251527
2026-01-04T01:40:41.408 02:04:35.32 09:17:50.207 +20:08:14.82 139.5298858 20.2052347
2026-01-03T06:12:37.938 02:13:58.37 13:11:15.982 +43:41:35.16 197.8486775 43.6942787
2026-01-03T06:12:37.938 02:11:30.25 14:54:50.402 +54:26:58.53 223.7282362 54.4541969
2026-01-04T01:40:41.408 02:02:58.11 15:46:55.592 +51:07:48.99 236.7400245 51.1358780
2026-01-03T06:12:37.938 02:13:29.51 00:24:15.733 +73:24:59.95 6.1283253 73.4542823
2026-01-04T01:40:41.408 02:21:19.01 00:41:46.749 +51:26:28.13 10.5638758 51.4558760
2026-01-03T06:12:37.938 02:18:41.67 20:27:23.741 +40:07:24.97 306.9386943 40.1156495
2026-01-04T01:40:41.408 02:19:09.78 13:24:13.358 +21:47:59.06 201.1295397 21.8239689
2026-01-04T01:40:41.408 02:08:28.40 05:43:44.956 +61:50:51.98 85.9459139 61.9153645
2026-01-03T06:12:37.938 02:19:32.79 12:20:01.342 +61:24:31.74 185.0671962 61.4315144
2026-01-04T01:40:41.408 02:23:15.16 16:30:36.701 +58:15:10.52 247.7641287 58.2359918
2026-01-03T06:12:37.938 02:23:39.62 14:22:03.741 +73:37:09.20 215.5933771 73.6366567
2026-01-03T06:12:37.938 02:31:47.17 17:12:00.717 +76:35:33.69 258.1699243 76.5800700
2026-01-04T01:40:41.408 02:27:54.92 01:31:05.741 +76:51:38.65 22.9274042 76.8826136
2026-01-03T06:02:42.556 02:33:27.19 03:24:47.759 +38:26:18.14 51.3921803 38.4376798
2026-01-03T06:12:37.938 02:35:08.63 01:35:24.997 +36:56:55.43 24.0611712 36.9308416
2026-01-04T01:40:41.408 02:39:25.09 04:12:37.806 +65:58:07.07 63.3162433 65.9849822
2026-01-04T01:40:41.408 02:29:53.93 08:56:01.325 +43:59:54.52 134.1542565 43.9960884
2026-01-04T01:40:41.408 02:35:57.68 00:37:35.317 +24:54:45.37 9.6162523 24.9135136
2026-01-03T06:12:37.938 02:40:08.01 07:48:54.400 +63:13:47.23 117.3605928 63.2444760
2026-01-03T06:12:37.938 02:43:11.19 12:42:41.303 +85:40:28.18 190.8050916 85.6675550
2026-01-04T01:40:41.408 02:43:25.30 17:20:11.890 +76:41:30.63 260.2283131 76.6714414
2026-01-04T01:40:41.408 02:41:59.67 16:25:24.683 +51:30:27.50 246.5213771 51.4787640
2026-01-04T01:40:41.408 02:47:10.17 17:16:32.359 +32:21:36.40 259.3377851 32.3265949
2026-01-04T01:40:41.408 02:45:59.62 03:22:29.069 +39:29:00.35 50.7864133 39.4864980
2026-01-04T01:40:41.408 02:47:57.71 21:29:52.906 +72:40:31.15 322.5937669 72.6639797
2026-01-04T01:40:41.408 02:51:46.58 11:44:55.117 +51:57:35.82 176.3458890 51.9434778
2026-01-03T06:12:37.938 02:53:55.73 16:46:22.515 +62:08:23.17 251.7316466 62.1180563
2026-01-03T06:12:37.938 03:02:02.26 19:32:38.708 +21:51:37.81 293.2777232 21.8646093
2026-01-04T01:40:41.408 03:01:08.59 15:24:54.183 +73:21:22.67 231.2840979 73.3736655
2026-01-03T06:12:37.938 03:00:56.66 15:45:36.768 +61:50:59.77 236.4808716 61.8509773
2026-01-04T01:40:41.408 02:55:36.08 15:22:28.127 +63:07:00.55 230.6935889 63.1101360
2026-01-03T06:12:37.938 03:05:46.38 19:12:57.549 +73:11:46.43 288.3204704 73.2204959
2026-01-04T01:40:41.408 03:01:56.94 01:11:39.520 +61:04:54.56 18.0170260 61.1137869
2026-01-04T01:40:41.408 03:16:02.61 20:31:37.420 +31:15:45.04 307.9860722 31.2831962
2026-01-03T06:12:37.938 03:08:15.43 16:39:24.746 +26:28:48.17 249.9523768 26.4808814
2026-01-03T06:12:37.938 03:16:51.88 16:02:09.557 +23:51:16.20 240.6030612 23.8726118
2026-01-04T01:40:41.408 03:13:30.75 05:52:23.713 +48:08:17.28 88.1125326 48.1713374
2026-01-04T01:40:41.408 03:16:12.36 01:22:14.988 +66:31:03.90 20.6315751 66.5706072
2026-01-04T01:40:41.408 03:11:30.00 05:25:16.243 +30:33:14.18 81.3551731 30.5883859
2026-01-03T06:12:37.938 03:19:23.88 11:00:39.366 +60:50:34.16 165.2048709 60.8759315
2026-01-03T06:12:37.938 03:18:38.67 17:37:10.709 +38:27:57.70 264.3895861 38.4608107
2026-01-04T01:40:41.408 03:27:31.24 14:24:36.592 +33:28:43.03 216.1796312 33.4908251
2026-01-03T06:12:37.938 03:25:18.21 14:10:38.291 +33:57:53.97 212.6983591 33.9829873
2026-01-04T01:40:41.408 03:26:23.69 08:51:10.943 +67:52:07.28 132.8202340 67.9238412
2026-01-04T01:40:41.408 03:36:59.91 19:00:48.727 +78:30:08.89 285.2769350 78.5271635
2026-01-04T01:40:41.408 03:33:56.60 09:47:44.412 +28:59:15.03 147.0089555 29.0262731
2026-01-04T01:40:41.408 03:35:23.44 13:03:47.963 +23:23:31.17 195.9935950 23.4322993
2026-01-04T01:40:41.408 03:36:05.52 12:41:01.055 +61:13:03.98 190.2654266 61.2469977
2026-01-04T01:40:41.408 03:37:31.73 08:13:12.727 +35:43:58.92 123.3481620 35.7670859
2026-01-04T01:40:41.408 03:36:05.65 20:46:10.580 +41:14:12.34 311.6115144 41.2334449
2026-01-04T01:40:41.408 03:31:46.29 00:54:44.229 +76:15:14.60 13.7562291 76.3111935
2026-01-04T01:40:41.408 03:44:50.66 14:35:14.860 +43:55:11.43 218.8373095 43.9191589
2026-01-04T01:40:41.408 03:38:38.54 15:35:13.439 +83:30:10.14 233.8479882 83.5215519
2026-01-04T01:40:41.408 03:51:45.28 13:08:06.642 +27:52:14.05 197.0753299 27.8870274
2026-01-04T01:40:41.408 03:51:53.46 14:38:19.320 +45:28:20.00 219.6229190 45.4662172
2026-01-03T06:02:42.556 04:00:11.64 16:18:21.326 +69:29:12.71 244.6475416 69.5090128
2026-01-03T06:12:37.938 03:48:42.39 16:59:40.281 +35:12:53.76 255.0011360 35.2203709
2026-01-04T01:40:41.408 03:57:21.03 06:01:59.263 +65:53:59.49 90.4819685 65.9604526
2026-01-03T06:02:42.556 03:55:45.24 10:23:21.390 +53:18:52.25 155.8841141 53.3385231
2026-01-03T06:02:42.556 03:59:08.51 02:48:04.815 +31:23:00.16 42.1022263 31.4266092
2026-01-04T01:40:41.408 04:02:38.76 16:16:40.225 +79:26:53.22 244.2225722 79.4676111
2026-01-04T01:40:41.408 04:05:35.40 00:29:18.753 +46:30:25.74 7.4103434 46.5262821
2026-01-04T01:40:41.408 03:54:20.57 10:20:58.785 +54:02:06.43 155.2966121 54.0618601
2026-01-03T06:12:37.938 04:09:27.43 17:09:20.234 +78:59:06.94 257.4075899 79.0004901
2026-01-04T01:40:41.408 04:15:36.52 20:52:31.644 +63:17:27.88 313.1687506 63.3019551
2026-01-03T06:12:37.938 03:59:31.07 02:00:53.865 +36:57:10.34 30.3216537 36.9738910
2026-01-04T01:40:41.408 04:09:34.87 09:05:07.854 +29:59:16.70 136.3520432 30.0219980
2026-01-04T01:40:41.408 04:18:01.94 19:36:33.301 +23:13:06.95 294.2447683 23.2239781
2026-01-03T06:12:37.938 04:12:21.06 19:54:38.487 +59:47:59.48 298.7179234 59.8051642
2026-01-03T06:12:37.938 04:17:35.73 20:31:30.099 +25:17:04.42 307.9592556 25.3017315
2026-01-04T01:40:41.408 04:18:30.54 13:06:17.065 +25:46:48.39 196.6205585 25.7953819
2026-01-04T01:40:41.408 04:18:35.92 17:30:38.631 +79:40:00.27 262.7402120 79.6800357
2026-01-04T01:40:41.408 04:22:55.32 23:56:27.762 +79:42:48.39 359.1596850 79.7530693
2026-01-04T01:40:41.408 04:16:18.50 11:35:18.190 +80:51:11.97 173.8764128 80.8930275
2026-01-03T06:12:37.938 04:21:28.41 09:13:54.885 +65:55:36.72 138.5180252 65.9703121
2026-01-03T06:12:37.938 04:26:22.73 20:31:48.139 +21:29:42.07 308.0302376 21.5137837
2026-01-04T01:40:41.408 04:32:09.39 19:36:40.949 +80:54:24.70 294.2439616 80.9136365
2026-01-04T01:40:41.408 04:37:57.47 20:40:18.889 +56:29:50.05 310.1293292 56.4942216
2026-01-04T01:40:41.408 04:34:27.26 03:52:06.665 +26:18:47.94 58.0874491 26.3646180
2026-01-04T01:40:41.408 04:25:19.13 23:58:00.573 +46:42:15.50 359.5682003 46.7066304
2026-01-04T01:40:41.408 04:38:32.93 02:33:52.784 +37:53:48.30 38.5486709 37.9096332
2026-01-04T01:40:41.408 04:40:03.98 21:31:13.686 +20:20:09.93 322.8660055 20.3454453
2026-01-04T01:40:41.408 04:43:33.56 08:08:51.770 +74:21:16.27 122.2354178 74.4065690
2026-01-04T01:40:41.408 04:48:09.69 16:09:35.654 +82:37:09.91 242.4648968 82.6161547
2026-01-03T06:12:37.938 04:46:46.15 00:14:10.409 +58:31:32.40 3.5983871 58.5347134
2026-01-04T01:40:41.408 04:47:27.78 07:20:01.797 +28:51:40.23 110.0583045 28.8868226
2026-01-04T01:40:41.408 04:46:53.34 21:09:42.129 +57:34:21.35 317.4632804 57.5651897
2026-01-04T01:40:41.408 04:51:34.69 05:08:06.157 +50:58:26.02 77.0350158 50.9985557
2026-01-04T01:40:41.408 04:54:46.05 21:14:46.885 +82:31:03.97 318.7437996 82.5248877
2026-01-03T06:12:37.938 04:58:51.02 11:32:51.305 +79:25:20.21 173.2607372 79.4415685
2026-01-04T01:40:41.408 04:59:49.29 00:09:21.247 +75:44:38.19 2.3729982 75.7750177
2026-01-04T01:40:41.408 04:56:29.29 23:14:06.082 +62:03:00.27 348.5692823 62.0625693
2026-01-03T06:12:37.938 05:00:03.71 04:56:24.494 +61:22:22.25 74.1121669 61.4156841
2026-01-03T06:12:37.938 05:05:07.42 18:06:22.250 +26:07:17.13 271.7115399 26.1276464
2026-01-04T01:40:41.408 05:08:09.76 13:47:06.792 +43:04:54.64 206.8302768 43.0613272
2026-01-04T01:40:41.408 05:04:53.66 09:55:18.960 +75:47:58.58 148.8775490 75.8450926
2026-01-03T06:12:37.938 05:08:28.13 01:42:36.302 +58:49:44.76 25.7170268 58.8339445
2026-01-04T01:40:41.408 05:14:28.34 14:52:41.544 +55:19:11.04 223.2278138 55.2957544
2026-01-04T01:40:41.408 05:13:55.27 20:36:53.473 +80:21:40.98 309.2814074 80.3550108
2026-01-03T06:12:37.938 05:15:32.84 09:35:48.133 +85:27:37.67 144.0269983 85.4819191
2026-01-04T01:40:41.408 05:14:37.59 16:37:04.651 +74:34:43.51 249.3347413 74.5808890
2026-01-03T06:12:37.938 05:11:23.83 09:54:25.875 +25:21:43.26 148.7059548 25.3881749
2026-01-04T01:40:41.408 05:16:15.37 02:24:29.769 +84:14:19.89 36.1921382 84.2640466
2026-01-04T01:40:41.408 05:22:13.69 13:35:12.550 +84:29:44.27 203.8385855 84.4960655
2026-01-04T01:40:41.408 05:26:41.04 12:08:13.784 +46:07:52.64 182.1338020 46.1049068
2026-01-03T06:12:37.938 05:27:17.93 08:55:40.079 +31:40:52.41 134.0233005 31.6779954
2026-01-04T01:40:41.408 05:39:24.90 10:49:25.542 +51:52:12.24 162.4834316 51.7913345
2026-01-04T01:40:41.408 05:30:00.73 16:47:17.940 +22:15:45.76 251.9580854 22.2174750
2026-01-04T01:40:41.408 05:29:19.82 06:27:09.318 +43:49:52.66 96.8275209 43.8109433
2026-01-03T06:12:37.938 05:35:32.19 15:38:21.418 +39:50:45.64 234.7076224 39.7649271
2026-01-04T01:40:41.408 05:39:50.94 18:18:13.647 +86:41:33.17 274.7026428 86.6176520
2026-01-04T01:40:41.408 05:51:49.70 06:32:20.264 +78:22:16.19 98.1752692 78.3068622
2026-01-03T06:12:37.938 05:39:05.87 12:04:49.661 +70:55:29.26 181.3016964 70.8677060
2026-01-03T06:12:37.938 05:35:19.27 21:42:58.285 +43:19:44.29 325.8252988 43.2515447
2026-01-04T01:40:41.408 05:45:23.81 01:37:49.153 +66:28:22.28 24.5931985 66.4040062
2026-01-04T01:40:41.408 05:44:46.35 07:54:04.174 +85:31:26.10 118.6278269 85.4759654
2026-01-03T06:12:37.938 05:42:42.23 07:26:10.408 +35:37:51.18 111.6648574 35.5616310
2026-01-03T06:12:37.938 05:44:35.27 17:52:46.843 +59:51:54.77 268.3416889 59.7497500
2026-01-04T01:40:41.408 05:48:32.64 18:21:34.393 +61:53:51.94 275.5517886 61.7832461
2026-01-04T01:40:41.408 05:54:44.82 14:13:57.867 +55:26:16.19 213.6040462 55.3048948
2026-01-04T01:40:41.408 05:48:38.14 18:43:17.543 +56:18:22.82 280.9854768 56.1921939
2026-01-04T01:40:41.408 05:53:59.77 03:48:41.113 +31:49:13.89 57.3124837 31.7347842
2026-01-04T01:40:41.408 05:53:14.43 02:58:55.470 +65:02:24.83 44.8682722 64.9600278
2026-01-03T06:12:37.938 05:53:29.94 14:45:46.491 +59:55:15.28 221.5570006 59.8111270
2026-01-03T06:12:37.938 06:08:10.05 04:45:40.848 +75:02:08.04 71.4796547 75.0150500
2026-01-03T06:12:37.938 06:08:35.49 09:57:48.603 +23:34:41.83 149.5909055 23.5330047
2026-01-03T06:12:37.938 06:16:53.80 20:31:50.359 +79:25:18.64 308.0297407 79.3864697
2026-01-03T06:12:37.938 06:13:03.80 21:38:03.825 +48:18:23.68 324.5874550 48.2490177
2026-01-04T01:40:41.408 06:08:41.55 02:24:19.722 +68:21:56.16 36.1877468 68.3329065
2026-01-04T01:40:41.408 06:12:46.99 13:07:21.041 +41:18:54.87 196.9218463 41.2460379
2026-01-04T01:40:41.408 06:16:04.85 17:27:25.772 +35:49:56.37 262.0041966 35.7714090
2026-01-03T06:12:37.938 06:13:37.04 09:39:42.407 +70:23:08.03 145.0155219 70.3664033
2026-01-04T01:40:41.408 06:26:42.56 23:16:28.765 +68:05:01.26 349.1584037 68.0719080
2026-01-03T06:12:37.938 06:25:55.31 16:52:15.062 +39:41:10.58 253.1737656 39.6369948
2026-01-03T06:12:37.938 06:24:20.54 21:46:41.435 +29:39:41.54 326.7503400 29.6474033
2026-01-04T01:40:41.408 06:05:44.32 20:19:19.753 +25:00:51.10 304.9821409 24.9322977
2026-01-04T01:40:41.408 06:26:46.58 13:35:38.740 +66:07:24.05 203.9410436 66.1029964
2026-01-04T01:40:41.408 06:34:57.25 01:32:47.327 +30:49:19.88 23.2846122 30.8286489
2026-01-03T06:12:37.938 06:30:02.17 00:24:39.947 +68:49:45.41 6.2169709 68.8291672
2026-01-03T06:12:37.938 06:29:18.39 05:10:17.518 +34:21:58.00 77.6067027 34.3820063
2026-01-03T06:12:37.938 06:26:00.23 09:57:38.097 +85:24:57.53 149.4881707 85.4122089
2026-01-04T01:40:41.408 06:27:54.11 12:55:45.769 +53:34:36.14 193.9923982 53.5495940
2026-01-04T01:40:41.408 06:35:16.92 20:32:00.118 +70:32:08.96 308.0413653 70.5315499
2026-01-04T01:40:41.408 06:35:14.65 08:21:48.562 +50:24:08.62 125.5086657 50.4022524
2026-01-04T01:40:41.408 06:40:32.44 16:15:21.638 +88:29:34.82 243.9180506 88.4678836
2026-01-03T06:12:37.938 06:40:26.26 05:13:21.803 +51:29:09.17 78.3528263 51.4952474
2026-01-03T06:12:37.938 06:40:11.25 14:38:11.530 +59:12:32.42 219.5894001 59.1788658
2026-01-03T06:12:37.938 06:45:04.22 13:26:25.559 +30:45:33.39 201.6593840 30.7322720
2026-01-04T01:40:41.408 06:49:03.29 00:36:29.100 +57:06:23.46 9.1733203 57.0966877
2026-01-04T01:40:41.408 06:52:12.81 18:23:01.776 +35:45:38.75 275.8710376 35.7188064
2026-01-04T01:40:41.408 06:44:25.27 07:47:09.578 +74:37:04.55 116.8167701 74.6363780
2026-01-04T01:40:41.408 06:46:38.90 10:36:56.367 +37:21:30.16 159.3313490 37.3516488
2026-01-04T01:40:41.408 06:58:36.08 22:04:40.060 +49:35:29.65 331.2041370 49.5541952
2026-01-04T01:40:41.408 06:51:11.07 11:26:22.007 +87:48:36.66 171.6560839 87.7946582
2026-01-03T06:12:37.938 06:57:50.34 09:00:50.374 +21:07:29.21 135.2942695 21.1478667
2026-01-04T01:40:41.408 07:02:53.61 00:09:05.825 +66:34:43.37 2.3097625 66.5740911
2026-01-03T05:12:23.535 07:06:13.51 12:28:08.948 +49:18:13.28 187.0799560 49.2750223
2026-01-04T01:40:41.408 06:59:39.45 03:07:27.934 +44:02:46.05 46.9174340 44.0314124
2026-01-03T06:12:37.938 06:57:27.82 15:05:08.506 +56:28:31.94 226.3196206 56.4431660
2026-01-04T01:40:41.408 07:06:48.42 19:49:39.414 +45:05:13.32 297.4937505 45.0438122
2026-01-03T06:12:37.938 07:10:53.01 18:45:46.759 +69:32:52.91 281.5375560 69.5125613
2026-01-03T06:02:42.556 07:13:55.61 07:43:18.839 +79:56:29.27 115.8474037 79.9584108
2026-01-04T01:40:41.408 07:15:16.73 10:06:05.555 +59:16:46.46 151.5833512 59.2718873
2026-01-04T01:40:41.408 07:19:23.26 08:16:20.097 +80:55:19.57 124.1217885 80.9317226
2026-01-04T01:40:41.408 07:18:55.99 11:37:06.194 +68:13:51.88 174.3167906 68.2334085
2026-01-04T01:40:41.408 07:27:49.10 06:27:01.068 +27:30:00.31 96.7861132 27.5122766
2026-01-03T06:12:37.938 07:15:47.98 10:42:26.003 +33:27:38.03 160.7005100 33.4390178
2026-01-04T01:40:41.408 07:33:32.89 08:27:34.687 +21:01:07.87 126.9730382 21.0302762
2026-01-04T01:40:41.408 07:25:07.87 10:17:00.186 +76:45:08.94 154.3205136 76.7597197
2026-01-04T01:40:41.408 07:22:53.68 03:24:31.881 +86:22:40.86 51.1827362 86.3858350
2026-01-04T01:40:41.408 07:38:20.49 17:05:03.642 +31:13:21.38 256.3761652 31.1837980
2026-01-04T01:40:41.408 07:36:18.30 13:50:49.884 +84:37:22.88 207.7576070 84.5968399
2026-01-03T06:12:37.938 07:35:17.20 02:13:40.815 +33:52:53.70 33.4992889 33.8708251
2026-01-03T06:12:37.938 07:38:43.14 12:06:35.444 +47:29:35.12 181.7048309 47.4558104
2026-01-04T01:40:41.408 07:47:53.85 07:26:45.800 +28:35:19.43 111.7325456 28.5886003
2026-01-03T06:12:37.938 07:39:46.87 21:41:38.888 +26:39:59.35 325.4609065 26.6272549
2026-01-04T01:40:41.408 07:49:44.67 20:13:17.961 +86:55:13.85 303.3708703 86.8848401
2026-01-04T01:40:41.408 07:41:29.19 08:43:57.386 +47:38:44.17 131.0523936 47.6342813
2026-01-04T01:40:41.408 07:45:58.48 07:31:09.179 +38:54:03.50 112.8218800 38.8850921
2026-01-04T01:40:41.408 07:45:41.70 09:44:25.242 +31:05:18.62 146.1859320 31.0828285
2026-01-04T01:40:41.408 07:52:05.11 13:47:58.010 +82:37:17.14 207.0226880 82.5952306
2026-01-04T01:40:41.408 07:42:22.25 06:18:37.575 +27:13:08.91 94.6751343 27.2217728
2026-01-04T01:40:41.408 07:52:13.46 19:02:29.709 +83:33:55.97 285.7055818 83.5319800
2026-01-03T06:12:37.938 07:54:01.10 22:16:27.230 +72:58:45.25 334.1335613 72.9575945
2026-01-03T06:12:37.938 07:54:07.96 21:40:48.018 +46:09:52.68 325.2162594 46.1150523
2026-01-04T01:40:41.408 08:01:24.80 02:57:46.029 +87:31:21.41 44.4931189 87.5113883
2026-01-04T01:40:41.408 08:03:48.39 18:14:21.773 +46:43:03.76 273.6817799 46.6525035
2026-01-03T06:12:37.938 07:56:00.09 23:16:06.892 +45:45:01.67 349.0597582 45.7062828
2026-01-04T01:40:41.408 08:06:26.79 09:19:47.833 +23:30:11.10 140.0424130 23.5080280
2026-01-03T06:12:37.938 08:08:55.92 11:48:55.243 +57:19:29.79 177.2846647 57.3080413
2026-01-03T06:12:37.938 08:01:04.99 23:37:40.301 +54:48:14.08 354.4478536 54.7682522
2026-01-03T06:12:37.938 08:11:58.98 12:03:49.103 +79:25:50.16 180.9964293 79.4173079
2026-01-04T01:40:41.408 08:06:49.99 16:54:31.388 +59:31:16.50 253.7050559 59.4626706
2026-01-03T06:12:37.938 08:14:48.77 07:53:22.547 +44:02:57.13 118.3783617 44.0300332
2026-01-04T01:40:41.408 08:17:29.21 18:37:13.742 +40:05:46.62 279.3979737 40.0254911
2026-01-03T06:12:37.938 08:21:31.63 12:02:48.816 +39:30:38.86 180.7769157 39.4729465
2026-01-04T01:40:41.408 08:14:31.25 20:27:25.104 +54:20:04.06 306.8982373 54.2820742
2026-01-03T06:02:42.556 08:22:16.01 17:04:43.401 +88:58:51.59 256.2610507 88.9304278
2026-01-03T06:12:37.938 08:29:57.87 01:40:50.620 +74:46:29.07 25.2478066 74.7667294
2026-01-04T01:40:41.408 08:26:33.66 14:26:29.716 +74:33:12.79 216.6635965 74.5205888
2026-01-04T01:40:41.408 08:32:07.92 01:08:25.828 +22:39:13.45 17.1697435 22.6390989
2026-01-04T01:40:41.408 08:30:26.12 01:35:47.535 +65:33:09.80 23.9924352 65.5390143
