1m0a.doma.lsc
Longitude = -70.8049deg Latitude = -30.1674deg
2025-09-30T08:00:54.366 03:54:48.48 05:20:34.283 -32:41:20.42 79.8876829857 -32.6557574338 
2025-09-30T07:58:47.050 03:52:40.73 05:20:34.456 -32:41:20.36 79.8867319858 -32.6556971881 
2025-09-27T23:36:48.576 19:21:26.52 17:04:26.073 -48:54:15.68 255.701921608 -48.791568309 
2025-09-28T00:02:22.190 19:47:04.77 20:51:10.096 -26:14:32.06 312.401593545 -26.2829860752 
2025-09-28T02:10:14.867 21:55:18.23 18:57:15.448 -53:46:21.45 283.897178918 -53.7256863332 
2025-09-25T03:00:55.517 22:34:17.55 01:24:47.815 -58:44:53.95 20.9388362628 -58.8053715132 
2025-09-25T03:03:56.587 22:37:18.87 01:24:47.502 -58:44:54.31 20.9394499339 -58.8059139982 
2025-09-25T06:39:50.156 02:13:48.34 02:25:51.285 -38:56:11.06 36.2135522056 -38.9997861239 
2025-09-24T23:51:20.748 19:24:11.68 19:31:12.042 -21:58:50.55 292.421111941 -22.0002922473 
2025-09-25T07:16:15.876 02:50:19.90 06:44:30.670 -63:49:50.13 101.088241803 -63.7291398293 
2025-09-30T23:33:26.608 19:29:54.00 19:29:36.968 -24:03:19.58 292.023927166 -24.0518322096 
2025-10-01T00:43:39.273 20:40:17.93 23:40:47.103 -29:14:58.92 354.812794988 -29.3356923694 
2025-09-25T01:51:56.901 21:25:07.31 00:55:06.308 +12:51:06.54 13.3977152772 12.6983358703 
2025-09-25T01:52:52.249 21:26:03.10 00:55:06.270 +12:51:06.93 13.3977924267 12.6983084319 
2025-09-25T03:10:17.297 22:43:41.03 01:24:47.097 -58:44:55.43 20.9416466264 -58.8067093638 
2025-09-25T03:13:18.841 22:46:42.79 01:24:46.838 -58:44:55.71 20.9422032569 -58.8068185482 
2025-09-25T03:07:34.436 22:40:57.43 01:24:47.180 -58:44:54.52 20.9402591895 -58.8062849843 
2025-09-25T02:06:32.611 21:39:45.28 00:55:06.152 +12:51:02.93 13.4045044313 12.6959964911 
2025-09-25T02:09:13.752 21:42:27.53 00:55:06.046 +12:51:02.15 13.4050960828 12.6958248588 
2025-09-25T04:24:16.298 23:57:51.80 00:07:25.835 +16:17:29.24 1.52350831491 16.1323507585 
2025-09-25T07:27:50.528 03:01:56.15 06:44:30.263 -63:49:53.77 101.091685021 -63.7306335705 
2025-09-25T03:18:02.732 22:51:27.64 01:24:46.379 -58:44:56.48 20.9432659824 -58.8071454917 
2025-09-25T01:56:12.276 21:29:23.94 00:55:06.285 +12:51:05.33 13.3999122735 12.6970981915 
2025-09-25T07:40:14.330 03:14:22.36 03:08:03.344 -29:56:29.08 46.7582849986 -29.9990518575 
2025-10-01T05:42:31.196 01:39:58.95 01:45:34.526 -34:25:15.10 26.1208333737 -34.4885545144 
2025-10-01T05:34:15.295 01:31:41.72 01:45:36.043 -34:25:24.20 26.1214503886 -34.4911364581 
2025-10-01T05:35:17.522 01:32:44.05 01:45:35.209 -34:25:27.31 26.1188862119 -34.4919119823 
2025-10-01T05:41:28.864 01:38:56.44 01:45:35.384 -34:25:13.29 26.1235611555 -34.4880229928 
2025-10-01T02:05:56.345 22:02:48.57 01:45:34.010 -34:27:07.97 26.054059297 -34.5246656176 
2025-10-01T02:12:11.776 22:09:04.99 01:45:33.634 -34:26:47.47 26.0562669031 -34.5191685291 
2025-09-25T04:05:56.728 23:39:29.56 03:58:22.975 -46:09:58.04 59.3564222269 -46.1894814746 
2025-09-25T07:03:17.402 02:37:19.24 06:44:31.113 -63:49:46.14 101.082799259 -63.7274873743 
2025-09-25T05:19:24.109 00:53:08.84 05:20:43.565 -32:39:57.17 79.8926792204 -32.6570582209 
2025-09-24T23:29:47.426 19:02:34.57 19:14:04.670 -21:01:59.82 288.143656849 -21.0435329224 
2025-09-25T01:58:37.728 21:31:49.51 00:55:05.986 +12:51:05.84 13.3999040373 12.6971053815 
2025-09-25T02:02:16.490 21:35:28.70 00:55:06.187 +12:51:03.97 13.4024563097 12.6963264431 
2025-09-25T03:11:12.658 22:44:36.36 01:24:47.023 -58:44:55.25 20.9417589236 -58.8067158995 
2025-09-25T03:05:09.736 22:38:32.29 01:24:47.497 -58:44:54.64 20.940263153 -58.8062865168 
2025-09-25T04:39:52.316 00:13:30.42 00:55:49.114 -19:53:32.09 13.6290457992 -20.0016044053 
2025-09-25T03:49:28.037 23:22:58.31 03:58:23.118 -46:09:52.87 59.348794967 -46.1872454093 
2025-09-25T07:09:46.255 02:43:48.93 06:44:31.021 -63:49:48.99 101.086341492 -63.7285703438 
2025-09-25T23:39:46.605 19:16:32.01 19:04:19.503 -30:22:12.94 285.695396548 -30.3645448103 
2025-09-27T02:31:58.705 22:13:17.70 00:39:45.592 -00:11:58.24 9.56873551152 -0.336237899379 
2025-09-27T02:32:22.816 22:13:42.22 00:39:45.492 -00:11:57.94 9.56848929554 -0.336159508853 
2025-09-27T02:32:52.548 22:14:12.11 00:39:45.426 -00:11:57.98 9.56845858585 -0.336236511411 
2025-09-27T02:33:08.646 22:14:27.84 00:39:45.382 -00:11:57.94 9.56842657415 -0.336279492584 
2025-09-27T02:33:32.634 22:14:52.00 00:39:45.299 -00:11:58.30 9.56795735787 -0.336351963032 
2025-09-27T02:34:18.398 22:15:37.58 00:39:45.190 -00:11:58.37 9.56822387786 -0.336224355889 
2025-09-27T07:59:31.626 03:41:35.74 03:35:13.195 -22:56:36.40 53.5242353364 -22.9984843303 
2025-09-26T23:31:01.780 19:11:42.40 19:43:25.307 -32:02:43.86 295.448201651 -32.0556493926 
2025-09-27T06:01:51.257 01:43:36.36 05:20:47.364 -32:40:07.08 79.9141147934 -32.6570898735 
2025-09-27T06:07:18.481 01:49:04.40 05:20:47.315 -32:40:08.93 79.9168923313 -32.6578074521 
2025-09-27T05:58:13.783 01:39:58.23 05:20:47.309 -32:40:05.13 79.9115396398 -32.6564642392 
2025-09-27T03:53:59.579 23:35:23.62 19:43:58.181 -10:15:36.19 295.670177897 -10.3209617737 
2025-09-27T06:48:17.967 02:30:10.21 04:07:10.522 +20:09:53.37 61.3944695907 20.0750562919 
2025-09-27T06:48:48.017 02:30:40.82 04:07:10.454 +20:09:53.14 61.3948264869 20.0751142905 
2025-09-27T06:50:53.875 02:32:47.07 04:07:10.082 +20:09:53.17 61.3946056703 20.0751234266 
2025-09-27T06:44:10.833 02:26:02.56 04:07:10.982 +20:09:53.65 61.3943682288 20.0751584913 
2025-09-27T07:11:03.418 02:52:59.41 03:34:36.473 -36:05:57.47 53.4068746359 -36.1371542728 
2025-09-27T07:22:32.263 03:04:30.38 01:28:55.056 +19:20:30.26 21.8846051578 19.1828842637 
2025-09-27T03:40:50.142 23:22:11.93 23:52:47.192 -36:54:34.88 357.863052207 -36.999620324 
2025-09-27T03:44:32.142 23:25:54.23 19:43:58.581 -10:15:40.33 295.665723965 -10.3213124741 
2025-09-27T04:18:15.397 23:59:52.22 19:55:44.575 -48:49:24.07 298.54281264 -48.8415479526 
2025-09-27T07:27:21.957 03:09:20.87 01:28:55.112 +19:20:31.70 21.8875511227 19.1831564924 
2025-09-27T07:36:30.727 03:18:31.39 01:28:54.968 +19:20:34.70 21.8914895847 19.1834312334 
2025-09-27T07:37:56.233 03:19:56.99 01:28:54.802 +19:20:34.79 21.8914458007 19.1834034257 
2025-09-27T03:46:41.075 23:28:03.70 19:43:58.493 -10:15:39.40 295.666889125 -10.3212592793 
2025-09-27T02:52:11.573 22:33:34.13 00:48:52.518 +06:23:52.35 11.848250926 6.25386877396 
2025-09-27T02:53:34.228 22:34:56.71 00:48:52.279 +06:23:52.70 11.8477549291 6.25370960363 
2025-09-27T02:54:14.912 22:35:37.99 00:48:52.102 +06:23:52.99 11.8477910599 6.25396830013 
2025-09-27T05:53:42.577 01:35:25.99 05:20:47.601 -32:40:05.42 79.9106124929 -32.6561515067 
2025-09-27T04:11:59.404 23:53:34.83 19:55:45.305 -48:49:25.20 298.542832539 -48.8415155318 
2025-09-27T06:08:44.016 01:50:30.29 05:20:47.115 -32:40:08.61 79.916880421 -32.6577801776 
2025-09-27T09:22:14.989 05:04:32.54 04:07:03.293 +20:09:53.61 61.3914611227 20.0727905854 
2025-09-27T09:22:49.038 05:05:06.80 04:07:03.195 +20:09:53.59 61.3915774956 20.0728946052 
2025-09-28T02:14:08.885 21:59:12.86 00:35:34.861 -30:41:06.88 8.53560467382 -30.7664686864 
2025-09-28T03:40:49.089 23:26:07.40 23:09:20.520 -26:54:56.57 346.999479995 -26.9993625139 
2025-09-28T05:48:26.139 01:34:05.25 00:33:27.110 -38:55:30.94 8.07860787702 -39.0016740387 
2025-09-28T09:17:47.531 05:04:00.85 04:07:02.423 +20:08:54.44 61.3913233306 20.0708280894 
2025-09-27T09:24:19.236 05:06:37.32 04:07:03.011 +20:09:53.74 61.3914170658 20.0728775391 
2025-09-27T23:35:35.323 19:20:13.07 17:04:26.182 -48:54:15.80 255.701921442 -48.7915973715 
2025-09-28T08:41:18.107 04:27:25.45 04:45:56.642 -19:59:56.30 71.2068879709 -19.9995111117 
2025-09-28T02:06:21.714 21:51:24.57 18:57:15.617 -53:46:22.88 283.895223467 -53.7258269854 
2025-09-28T02:27:16.004 22:12:22.23 00:35:34.100 -30:41:08.79 8.54084927848 -30.7676668613 
2025-09-28T06:03:45.045 01:49:26.80 05:20:45.114 -32:40:58.26 79.9040862684 -32.6527123933 
2025-09-28T00:19:40.579 20:04:25.56 22:42:00.256 +03:27:50.20 340.136479647 3.3439201996 
2025-09-28T06:42:59.052 02:28:46.95 04:07:10.251 +20:08:55.13 61.399995243 20.0750487842 
2025-09-28T06:43:29.522 02:29:17.77 04:07:10.220 +20:08:55.33 61.4000182326 20.075034886 
2025-09-28T06:44:30.428 02:30:18.72 04:07:10.119 +20:08:55.79 61.3999422344 20.0750430779 
2025-09-28T00:11:13.521 19:55:57.44 20:51:09.509 -26:14:27.50 312.405499992 -26.2816109325 
2025-09-28T06:37:44.015 02:23:31.21 04:07:11.115 +20:08:55.52 61.4000316333 20.0750320489 
2025-09-29T01:01:01.548 20:49:50.01 23:04:41.775 +09:01:26.30 345.815360524 8.87830884355 
2025-09-29T01:02:14.711 20:51:03.69 23:04:41.786 +09:01:26.22 345.816398605 8.87825032112 
2025-09-29T01:07:22.675 20:56:12.17 23:04:41.555 +09:01:25.52 345.81843813 8.87791172931 
2025-09-29T05:04:02.860 00:53:31.06 05:20:43.919 -32:40:05.17 79.8921124355 -32.6594872991 
2025-09-30T00:01:49.108 19:54:24.28 22:40:44.251 -25:07:44.97 339.79307851 -25.2123046529 
2025-09-30T08:42:56.208 04:36:57.14 03:43:00.031 -19:57:30.94 55.4807393755 -19.9977165364 
2025-09-29T04:28:39.052 00:18:01.90 03:56:37.588 -28:07:00.37 58.8505691651 -28.1593183233 
2025-09-29T05:42:50.454 01:32:25.10 01:02:05.113 -25:53:56.08 15.2234978025 -25.9997567072 
2025-09-29T09:20:34.316 05:10:44.89 04:07:02.544 +20:09:58.69 61.3902529092 20.0754769316 
2025-09-29T09:24:41.604 05:14:52.64 04:07:01.996 +20:09:59.21 61.3901653073 20.0753801807 
2025-09-29T04:15:15.020 00:04:35.67 03:56:37.789 -28:06:56.72 58.8441265119 -28.1576411311 
2025-09-29T07:17:39.283 03:07:29.66 05:20:39.231 -32:40:28.49 79.8973536186 -32.6578148178 
2025-09-29T07:12:57.337 03:02:47.22 05:20:39.580 -32:40:27.99 79.8959888035 -32.6576538569 
2025-09-29T09:17:57.804 05:08:08.06 04:07:02.891 +20:09:58.58 61.3903503667 20.0754257146 
2025-09-29T03:04:52.845 22:54:01.49 00:55:02.269 +12:50:36.57 13.3936340311 12.6916574434 
2025-09-29T03:08:33.548 22:57:42.96 00:55:02.256 +12:50:35.62 13.3957573581 12.691317543 
2025-09-29T07:02:43.340 02:52:31.24 05:20:40.265 -32:40:26.67 79.8928751687 -32.6570744985 
2025-09-29T03:02:27.942 22:51:36.41 00:55:02.593 +12:50:36.39 13.3936180688 12.6916383304 
2025-09-29T03:00:20.114 22:49:28.29 00:55:02.690 +12:50:36.66 13.3927303906 12.6918138387 
2025-09-29T07:04:49.233 02:54:37.57 05:20:40.138 -32:40:26.97 79.8935305985 -32.6574007044 
2025-09-30T00:43:16.119 20:35:58.52 22:41:15.850 -24:35:01.69 339.929609099 -24.6630720815 
2025-09-30T00:25:13.943 20:17:53.22 17:04:23.592 -48:53:54.20 255.698621045 -48.7914246506 
2025-09-30T03:42:56.444 23:36:08.22 00:24:28.596 -24:54:32.04 5.7872243283 -24.9960781944 
2025-09-30T05:43:22.156 01:36:53.68 01:30:42.732 -19:54:43.34 22.3740721648 -19.9985657004 
2025-09-30T08:01:49.613 03:55:44.03 05:20:34.152 -32:41:20.40 79.8877209758 -32.655787789 
2025-09-30T08:08:08.485 04:02:03.52 05:20:33.683 -32:41:20.56 79.8903751821 -32.6558853019 
2025-10-01T04:43:07.489 00:40:25.60 00:53:07.610 -20:54:18.73 12.9753584372 -20.9982764283 
2025-10-01T05:31:08.890 01:28:34.76 01:45:36.206 -34:25:33.15 26.1200745076 -34.4938496507 
2025-10-01T02:03:50.483 22:00:42.25 01:45:34.870 -34:26:55.88 26.0562852268 -34.5212156087 
2025-10-01T02:09:04.611 22:05:57.32 01:45:35.554 -34:26:59.39 26.0624409709 -34.5223847919 
2025-10-01T02:00:43.696 21:57:34.87 01:45:34.919 -34:27:06.43 26.0547130357 -34.5237472453 
2025-09-28T02:34:38.154 22:19:45.49 00:35:33.635 -30:41:09.73 8.54287670351 -30.7681069258 
2025-09-28T02:38:41.124 22:23:49.13 00:35:33.369 -30:41:10.20 8.54404673887 -30.7681293857 
2025-09-28T03:10:49.656 22:56:02.80 21:13:44.303 -57:15:33.22 318.052165073 -57.2714658828 
2025-09-28T03:24:19.136 23:09:34.41 21:27:15.233 -33:56:57.81 321.46258055 -34.0003961026 
2025-09-28T06:38:44.309 02:24:31.89 04:07:10.933 +20:08:55.40 61.4000730496 20.0749918758 
2025-09-28T06:44:00.054 02:29:48.09 04:07:10.164 +20:08:55.60 61.4000504595 20.0750609009 
2025-09-28T07:42:12.599 03:28:10.64 03:09:40.616 -29:57:26.10 47.1664533608 -29.9978340664 
2025-09-27T23:38:19.651 19:22:57.80 17:04:25.870 -48:54:15.77 255.701906944 -48.791570328 
2025-09-27T23:46:17.809 19:30:57.62 22:42:01.721 +03:27:53.37 340.138970716 3.34379889355 
2025-09-28T00:15:45.432 20:00:29.46 22:42:00.751 +03:27:48.10 340.136511652 3.34387732119 
2025-09-28T07:29:39.686 03:15:35.22 03:56:26.859 -28:08:19.06 58.8458798743 -28.1554815957 
2025-09-28T07:31:19.938 03:17:16.32 03:56:26.725 -28:08:18.96 58.8463808608 -28.1554662369 
2025-09-28T07:32:29.948 03:18:25.94 03:56:26.632 -28:08:18.89 58.8467238803 -28.1554980876 
2025-09-28T02:02:31.119 21:47:33.05 18:57:15.784 -53:46:24.29 283.893565289 -53.7259836543 
2025-09-28T02:08:34.498 21:53:37.36 18:57:15.521 -53:46:22.07 283.896171479 -53.7257605314 
2025-09-28T02:51:59.659 22:37:09.97 21:13:45.437 -57:15:38.41 318.045799706 -57.2720481724 
2025-09-28T06:13:06.255 01:58:49.48 05:20:44.876 -32:41:00.79 79.9085690476 -32.6537710049 
2025-09-28T06:15:12.067 02:00:55.40 05:20:44.842 -32:41:01.33 79.9096210656 -32.6540207931 
2025-09-28T06:00:40.602 01:46:21.89 05:20:45.290 -32:40:58.13 79.9026353428 -32.652490409 
2025-09-27T23:31:54.820 19:16:32.24 19:44:19.554 -23:02:20.73 295.700472093 -23.0481888902 
2025-09-27T04:40:24.826 00:21:56.42 00:16:54.297 -25:53:39.68 3.89890930506 -25.9978939803 
2025-09-27T03:51:18.161 23:32:41.66 19:43:58.034 -10:15:37.56 295.668123826 -10.3213704893 
2025-09-27T04:21:22.209 00:02:59.59 19:55:44.232 -48:49:23.33 298.542821437 -48.8415340324 
2025-09-27T02:21:38.611 22:02:47.57 18:49:32.458 -63:12:40.51 281.91794616 -63.1588343933 
2025-09-27T02:51:30.977 22:32:53.26 00:48:52.652 +06:23:52.67 11.8479514617 6.2540801933 
2025-09-27T02:52:24.836 22:33:47.73 00:48:52.488 +06:23:52.70 11.847988677 6.25398080917 
2025-09-27T02:53:42.222 22:35:04.82 00:48:52.224 +06:23:52.27 11.847535218 6.25372822585 
2025-09-27T02:54:06.810 22:35:29.55 00:48:52.140 +06:23:52.33 11.8475713092 6.25377154752 
2025-09-27T04:15:06.218 23:56:42.69 19:55:44.943 -48:49:24.87 298.54283575 -48.8415349252 
2025-09-27T02:32:06.693 22:13:26.06 00:39:45.546 -00:11:58.02 9.56857178049 -0.336203429126 
2025-09-27T02:32:14.694 22:13:33.99 00:39:45.504 -00:11:57.89 9.56864445387 -0.336213863168 
2025-09-27T05:11:37.364 00:53:13.85 05:20:46.386 -32:40:06.15 79.9014926852 -32.6621018009 
2025-09-27T05:55:48.854 01:37:32.81 05:20:47.563 -32:40:05.99 79.9114035707 -32.6564626346 
2025-09-27T05:51:34.557 01:33:17.40 05:20:47.637 -32:40:04.85 79.9092452092 -32.6556366104 
2025-09-28T09:21:24.132 05:07:38.50 04:07:01.957 +20:08:54.24 61.3912856263 20.0708015711 
2025-09-28T09:18:17.678 05:04:31.12 04:07:02.403 +20:08:54.59 61.3913432363 20.0708661589 
2025-09-28T23:41:49.859 19:30:25.60 21:43:38.429 -23:58:57.46 325.510238961 -24.0635663851 
2025-09-28T23:51:09.876 19:39:47.02 21:43:37.604 -23:59:06.61 325.512755328 -24.0662938284 
2025-09-25T04:01:54.222 23:35:26.27 03:58:23.018 -46:09:56.80 59.354447622 -46.1890575166 
2025-09-25T04:08:39.989 23:42:13.09 03:58:22.943 -46:09:58.86 59.3575999831 -46.1896790695 
2025-09-25T03:22:10.650 22:55:35.99 01:24:46.021 -58:44:56.61 20.9442349884 -58.8072267012 
2025-09-25T01:54:59.150 21:28:10.35 00:55:06.164 +12:51:05.85 13.3985709511 12.6976477481 
2025-09-25T01:54:03.814 21:27:14.60 00:55:06.298 +12:51:05.94 13.3986658605 12.6976336996 
2025-09-25T07:25:25.824 02:59:30.99 06:44:30.512 -63:49:53.97 101.09165222 -63.7306150502 
2025-09-25T02:39:55.157 22:13:13.83 23:01:37.250 -20:53:40.91 345.050093663 -20.9996764864 
2025-09-25T02:04:24.909 21:37:37.60 00:55:06.140 +12:51:03.30 13.4033600282 12.6960240435 
2025-09-25T02:03:29.648 21:36:42.07 00:55:06.226 +12:51:03.34 13.4034168685 12.6959815372 
2025-09-25T03:14:30.721 22:47:55.07 01:24:46.757 -58:44:56.05 20.9428572958 -58.8069638569 
2025-09-25T03:15:25.978 22:48:50.49 01:24:46.622 -58:44:56.11 20.942816566 -58.8069397475 
2025-09-25T03:12:23.532 22:45:47.59 01:24:46.929 -58:44:55.75 20.9420980811 -58.8068443606 
2025-09-25T01:39:29.323 21:12:38.18 21:07:29.289 -21:55:40.78 316.507334358 -21.9970714017 
2025-09-29T03:10:40.043 22:59:49.71 00:55:02.141 +12:50:35.58 13.3964613994 12.691035375 
2025-09-29T03:11:49.784 23:00:59.75 00:55:02.147 +12:50:35.33 13.3971802858 12.6909773016 
2025-09-29T08:42:32.487 04:32:36.80 05:08:28.235 -24:00:08.92 76.8464596316 -24.0017994383 
2025-09-29T04:10:07.620 23:59:26.95 03:56:37.844 -28:06:55.25 58.8422561076 -28.1560350621 
2025-09-29T09:20:04.174 05:10:14.74 04:07:02.631 +20:09:58.63 61.3902055349 20.0754026702 
2025-09-29T09:23:10.749 05:13:21.30 04:07:02.198 +20:09:58.74 61.3902399154 20.0754461338 
2025-09-29T09:23:41.120 05:13:52.08 04:07:02.135 +20:09:58.90 61.3903379766 20.0754237404 
2025-09-29T01:09:28.657 20:58:18.61 23:04:41.457 +09:01:25.25 345.819093512 8.87790559219 
2025-09-29T03:42:24.183 23:31:39.21 23:25:52.719 -31:54:27.99 351.137994205 -32.0038984118 
2025-09-29T04:19:22.804 00:08:43.71 03:56:37.737 -28:06:57.87 58.8462956921 -28.1581253393 
2025-09-29T02:59:09.983 22:48:17.88 00:55:02.688 +12:50:37.20 13.3919261698 12.6921462096 
2025-09-29T01:41:35.756 21:30:30.93 21:55:43.959 -32:55:31.81 328.560468126 -32.9980554355 
2025-09-29T03:15:21.299 23:04:31.97 00:55:01.905 +12:50:35.35 13.3979717309 12.6909650333 
2025-09-29T07:00:35.232 02:50:22.69 05:20:40.392 -32:40:26.37 79.892141472 -32.6566025434 
2025-09-30T02:31:40.086 22:24:39.81 21:50:03.621 -13:12:20.93 327.188547542 -13.2878623538 
2025-09-30T08:03:00.333 03:56:54.71 05:20:34.109 -32:41:20.47 79.8884498299 -32.6558844735 
2025-09-30T03:58:52.217 23:52:06.40 23:57:56.323 -87:10:59.80 0.245422783994 -87.1831221375 
2025-09-30T04:59:48.475 00:53:12.93 05:20:45.313 -32:40:56.75 79.8990572463 -32.6577198463 
2025-09-30T03:54:51.911 23:48:05.42 23:58:01.347 -87:11:01.57 0.259230493772 -87.1832280409 
2025-09-27T07:03:47.364 02:45:42.46 03:34:37.099 -36:05:57.83 53.4050756942 -36.1370331844 
